KODE,NAMA,TIPE,HARGA MODAL
A3200,PB 3200mah,Powerbank,18000
A5000S,PB 5000mah SLIM,Powerbank,85000
A5200,PB 5200mah,Powerbank,65000
A5500S,PB 5500mah SLIM,Powerbank,95000
A5600,PB 5600mah S25,Powerbank,78000
A5600L,PB 5600mah LAMA,Powerbank,70000
A5600,"PB 5600mah 101a, 101b",Powerbank,70000
A5800,PB 5800mah,Powerbank,85000
A5800S,PB 5800 SLIM,Powerbank,94000
A6000,PB 6000mah,Powerbank,70000
A8200,PB 8200mah,Powerbank,110000
A8800LCD,PB 8800mah LCD,Powerbank,125000
A8800,PB 8800mah ,Powerbank,100000
A9000S,PB 9000mah SLIM,Powerbank,170000
A10000S,PB 10000mah S42,Powerbank,140000
A10000S,PB 10000mah SLIM,Powerbank,168000
A10000LCD,PB 10000mah LCD,Powerbank,120000
A12000S,PB 12000mah SLIM,Powerbank,187000
A15000,PB 15000 s52a,Powerbank,173000
A15000P,pb 15000 POLYMER,Powerbank,200000
A18000,PB 18000,Powerbank,185000
AA12,KALENG,Speaker,24000
AA24,ROKOK,Speaker,24000
A100,TP 100,Speaker,84000
A200,TP 200,Speaker,94000
A200N ,TP 200N LIGHT,Speaker,98000
A200BT,TP 200 BT,Speaker,105000
A300,TP 300,Speaker,70000
A400,TP 400,Speaker,88000
A500N,TP 500N,Speaker,70000
A6000,TP 600,Speaker,78000
A700,TP 700,Speaker,125000
A800,TP 800,Speaker,130000
A900,TP 900,Speaker,150000
A101,T 101 KF,Speaker,135000
A103,T 103 KF,Speaker,265000
A10,M10,Speaker,175000
A180,M 180,Speaker,195000
A180,M 180 BT,Speaker,220000
A210,M 210 FM,Speaker,255000
A230,M 230 FM                                            ,Speaker,260000
A250,M 250 BT,Speaker,250000
A310,M 310 BT,Speaker,295000
A380,M 380,Speaker,260000
A480,M 480 FM,Speaker,285000
A690,M 690 FM,Speaker,360000
A780,M 780 FM,Speaker,350000
A990,M 990 B,Speaker,445000
A9000,M 9000 FM,Speaker,485000
A9100,M 9100 FM,Speaker,520000
A9200,M9200,Speaker,540000
A9300,M 9300,Speaker,550000
A01,DUO-01,Speaker,35000
A026,DUO-026,Speaker,36000
A030,DUO-030,Speaker,35000
A040,DUO-040,Speaker,29000
A050,DUO-050,Speaker,38000
A0200,DUO 200,Speaker,102000
A0300,DUO 300,Speaker,95000
A0400,DUO 400,Speaker,97000
A0600,DUO-600,Speaker,130000
A0700,DUO-700,Speaker,80000
A02000,DUO-2000,Speaker,250000
A23A,H 23A,Speaker,140000
A24A,H 24A,Speaker,170000
A24B,H 24B,Speaker,185000
A25B,H 25B,Speaker,260000
AST100,ST 100,Speaker,175000
